expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2021-03-29,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,329,Newspaper
2021-04-29,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,400,Newspaper
2021-05-18,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,350,Newspaper
2021-07-01,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,484,Newspaper
2021-10-12,Salling   Johnny Ray Friends of,Media,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,1792,Newspaper
2021-03-22,Fraser  Stanford Friends of,Media,Troop Public Relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,Business/Group/Organization,625,Videos
2022-02-14,Judges - Baltimore City Sitting Judges Committee Slate,Media,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500,Consulting Fees - Media
2021-11-09,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2881.16,Consulting Fees - Media
2021-10-12,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,3034.32,Consulting Fees - Media
2021-12-07,McMillan  Herb Friends Of,Media,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2358.12,Consulting Fees - Media
2021-10-12,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,95,Graphic Design
2021-09-10,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,340,Graphic Design
2021-06-24,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,180,Graphic Design
2021-10-12,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,190,Graphic Design
2021-05-07,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,Graphic Design
2021-07-09,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,225,Graphic Design
2021-05-19,McMillan  Herb Friends Of,Media,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,Graphic Design
2021-11-17,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,59.37,Online Advertising
2021-10-25,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-12-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,143.1,Online Advertising
2021-05-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-11-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,143.1,Online Advertising
2021-04-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-08-26,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,115.51,Online Advertising
2021-07-24,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-09-28,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-06-23,McMillan  Herb Friends Of,Media,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,Online Advertising
2021-05-03,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-08-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
2021-09-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,52,Online Advertising
2021-02-02,Howard  Seth Citizens To Elect,Media,Campaign Partner,1775 Tysons Blvd.  Tysons  Virginia 22102,Business/Group/Organization,49,Online Advertising
