geoid,county_x,cox,moore,lashar,wallace,harding,sefcik,write_ins_x,county_y,hogan,jealous,quinn,schlakman,write_ins_y,total_county,cox_perc,hogan_perc,perc_diff
24001,Allegany,13833,6390,279,143,267,0,17,Allegany,19224,3985,166,139,16,20929,66.09489225476611,91.85340914520522,25.75851689043911
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,Anne Arundel,157202,69399,1366,1052,187,168548,43.77091392363006,93.26838645371052,49.49747253008046
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,Baltimore City,58360,123609,1055,1491,176,128573,8.856447310088432,45.39055633764476,36.534109027556326
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,Baltimore County,198122,122773,1633,1492,256,225973,35.73834042120077,87.6750762259208,51.93673580472004
24009,Calvert,18447,14236,504,142,242,0,89,Calvert,29610,9216,303,130,25,33660,54.80392156862746,87.96791443850267,33.163992869875216
24011,Caroline,6727,3276,176,56,140,0,21,Caroline,9489,1900,82,28,6,10396,64.70757983839938,91.27549057329742,26.567910734898035
24013,Carroll,38969,25155,1515,436,561,0,301,Carroll,62445,11767,533,261,45,66937,58.21742832812944,93.28921224434916,35.07178391621972
24015,Cecil,18159,8691,472,155,311,21,35,Cecil,27063,7354,353,154,15,27823,65.26614671315099,97.26844696833555,32.002300255184565
24017,Charles,15096,33633,408,283,414,0,78,Charles,31756,32100,274,193,37,49912,30.24523160762943,63.62397820163488,33.37874659400545
24019,Dorchester,6169,4341,139,69,157,0,19,Dorchester,9205,3043,72,39,8,10894,56.62750137690472,84.49605287314118,27.868551496236464
24021,Frederick,44307,51423,1700,555,722,0,306,Frederick,72560,33355,746,499,59,99013,44.748669366648826,73.28330623251492,28.53463686586609
24023,Garrett,8195,2402,194,52,138,0,15,Garrett,9472,1395,86,48,7,10996,74.52710076391415,86.14041469625319,11.61331393233904
24025,Harford,51930,40837,2033,618,914,0,301,Harford,85259,24012,756,461,91,96633,53.739405793052065,88.22969378990614,34.49028799685407
24027,Howard,33110,83690,2464,802,713,0,419,Howard,80574,61146,800,752,111,121198,27.318932655654383,66.48129507087576,39.16236241522138
24029,Kent,3718,4256,106,56,93,0,10,Kent,6370,2222,43,57,2,8239,45.12683578104139,77.31520815632965,32.18837237528825
24031,Montgomery,58701,227161,3443,2444,1677,0,768,Montgomery,180018,224029,1922,2110,349,294194,19.953160159622563,61.190235014990115,41.23707485536755
24033,Prince George's,17937,179968,1081,1693,1984,0,314,Prince George's,89925,225889,1469,1423,279,202977,8.836961823260763,44.30304911393902,35.46608729067825
24035,Queen Anne's,12840,8577,416,120,212,0,89,Queen Anne's,19503,3268,99,86,15,22254,57.69749258560258,87.63817740630898,29.9406848207064
24037,Saint Mary's,20670,14365,720,263,361,0,86,Saint Mary's,30703,9084,410,170,27,36465,56.68449197860963,84.19854655148772,27.514054572878095
24039,Somerset,3974,2254,67,46,81,0,6,Somerset,5203,2379,71,33,16,6428,61.82327317983821,80.94275046670815,19.119477286869937
24041,Talbot,7497,7989,289,70,128,0,44,Talbot,14081,3957,79,66,7,16017,46.80651807454579,87.91284260473246,41.10632453018667
24043,Washington,27571,17006,646,257,483,0,75,Washington,38765,10894,491,268,43,46038,59.88748425213954,84.2021808071593,24.314696555019758
24045,Wicomico,14612,12213,388,171,358,0,46,Wicomico,22659,10426,284,141,24,27788,52.58384914351518,81.54239239959695,28.958543256081768
24047,Worcester,13433,8550,273,121,161,0,31,Worcester,18076,5437,148,82,12,22569,59.51969515707386,80.09216181487882,20.57246665780496
