fips_code,county,cox,moore,lashar,wallace,harding,write_ins,total_county,cox_perc,moore_perc
24001,Allegany,13833,6390,279,143,267,0,20912,66.14862280030604,30.5566182096404
24003,Anne Arundel,72806,83643,3446,948,1247,0,162090,44.91702140785983,51.602813251897096
24510,Baltimore City,11140,107563,1237,1180,1391,0,122511,9.093061031254337,87.79864665213736
24005,Baltimore County,76242,117356,3636,1482,2200,0,200916,37.94720181568417,58.4104800015927
24009,Calvert,18447,14236,504,142,242,0,33571,54.9492121176015,42.40564773167317
24011,Caroline,6727,3276,176,56,140,0,10375,64.83855421686748,31.57590361445783
24013,Carroll,38969,25155,1515,436,561,0,66636,58.48040098445285,37.74986493787142
24015,Cecil,18159,8691,472,155,311,0,27788,65.34835180653519,31.276090398733263
24017,Charles,15096,33633,408,283,414,0,49834,30.292571336838304,67.49006702251475
24019,Dorchester,6169,4341,139,69,157,0,10875,56.72643678160919,39.91724137931035
24021,Frederick,40178,38581,1456,468,606,0,81289,49.426121615470734,47.46152615975101
24023,Garrett,8195,2402,194,52,138,0,10981,74.62890447135962,21.87414625261816
24025,Harford,51065,38139,1948,598,886,0,92636,55.12435770110971,41.170819119996544
24027,Howard,33110,83690,2464,802,713,0,120779,27.413706025054022,69.29184709262371
24029,Kent,3718,4256,106,56,93,0,8229,45.18167456556082,51.719528496779674
24031,Montgomery,54968,191695,3013,2146,1551,0,253373,21.694497835207383,75.65723261752436
24033,Prince George's,16903,161692,999,1593,1888,0,183075,9.232828075925168,88.32008739587602
24035,Queen Anne's,12840,8577,416,120,212,0,22165,57.929167606586965,38.69614256711031
24037,Saint Mary's,20279,13291,661,253,346,0,34830,58.2227964398507,38.15963250071777
24039,Somerset,3974,2254,67,46,81,0,6422,61.88103394581127,35.098100280286516
24041,Talbot,7497,7989,289,70,128,0,15973,46.935453577912725,50.01565141175735
24043,Washington,26943,15723,614,252,472,0,44004,61.22852467957458,35.73084265066812
24045,Wicomico,14612,12213,388,171,358,0,27742,52.67104029990628,44.02350227092495
24047,Worcester,13433,8550,273,121,161,0,22538,59.60156180672642,37.93593042860946
